Sr. No,"1.	Age:","2.	Gender","3.	Percentage /CGPA in the last Degree ",A. Bachelor in which discipline(Department  name):,B. Masters in which discipline(Department  name):,C. Any extra course:,5.  Year of passing the last education,"6.	The number of interviews faced.","7.	Marital Status",A. If married then Spouse(husband/wife) Occupation,"8.	I think my curriculum was sufficient for my present career.","9.	My personality is a perfect match for my career. ","10.	I am satisfied with the skills I have achieved along with my career","11.	I am able to apply my conceptual/technical skills in my career journey. ","12.	I am satisfied with the progress I have made toward meeting my goals for income. ","13.	I am satisfied with the progress I have made toward meeting my goals for career advancement. ","14.	I am satisfied with the progress I have made toward meeting the challenging task at my work. ","15.	 I am contented with my career even if I don’t get job. ","16.	I can work in a domain different from my educational background. ","17.	I would like to change my current career if I find better opportunities elsewhere. ","18.	Based on my career I can never remain unemployed","19.	I’m satisfied with the status I have in society due to my career. ",20.  My family supports me during ups and downs in my career.,"21.	I am satisfied with the progress I have made toward meeting my overall career goals",23.  Number of dependents in the family,"22.	I think I can have better performance in my career if had exposure to","24.	I need to acquire a few more skills through additional courses for the betterment of my career","B.	I need to acquire a few more skills through additional courses for the betterment of my career","25.	I will continue with my present career.",if no then reason,if yes then reason,I’m currently ,1. Occupation,"2.	Designation","4.	Current working domain","3.	Company/organization/institute Sector","5.	Years of work Experience ",6. What type of work are you doing?,"7..	How many times have you switched your Job / Business?",8. I’m satisfied with the work I do.,9. My work allows me to use a variety of skills and abilities.,10. My location is appropriate for my career growth.,11. I’m satisfied with the income based on my work.,12. I’m happy with the amount of time spent at work.,13. I have growth and advancement opportunity based on my work.,14. I’m able to maintain a balance between work and personal life,15. I would like to change my current job if I find better opportunities elsewhere.,"16. 	I am working in a domain different from my educational background. ","1.  As of now, I am occupied in my personal engagements.",2. I’m currently busy in doing further study.,3. I am not really looking for a job.,4.  I have done job before and may look for one in near future,5.  I am not happy with available job opportunities and salary offered.,6.  There is very less opportunity based on my educational background.,7. I am waiting for the desired job.,8. For getting a job I am ready to change my present location.,9. My focus is on government exams at present.,1) 10th Result marks [Science ],1) 10th Result marks [Mathematics],1) 10th Result marks [Overall result in % ],Science stream and subjects liking related Questions [I am happy with my decision of choosing science.],Science stream and subjects liking related Questions [I like to study Physics],Science stream and subjects liking related Questions [I like to study Mathematics],Science stream and subjects liking related Questions [I like to study Chemistry],Science stream and subjects liking related Questions [I chose science stream as it has increased my opportunities of choosing the career of my interest.],"On a 1-10 scale, 10 being highest, rate your subjects liking [Physics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Chemistry]","On a 1-10 scale, 10 being highest, rate your subjects liking [Mathematics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Computer]","On a 1-10 scale, 10 being highest, rate your subjects liking [English]",Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest 
93,23-25,Male,60-69,Civil engineering,,No,2018,1,Unmarried,,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,None,Practical Applications,CCC,No,Yes,,Satisfaction,Working,Job,Assistant engineer,Civil engineering,Government,1,Office Work,0,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,No,,,,,,,,,,90-100,90-100,80-89,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,6,8,8,1,5,"Constructing, building;Action-oriented activities;Working with my hands;Solving problems",Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Developing knowledge,Decorating;Being Emotional,Working in groups;Collaborating,Negotiating,Performing calculations;Following the rules
94,23-25,Male,60-69,Civil engineering,,No,2018,more than 3,Unmarried,,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,3,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,Revit,,No,I am not  satisfied with my salary ,,Non-Working,,,,,,,,,,,,,,,,,Neutral,Strongly Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,,,,,,,,,,,,,,,,,,,
95,Below 23,Male,60-69,Electrical not bechlor diploma,Na,Na,2018,3,Unmarried,,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,Interactive Session;Practical Applications,No,No,No,I wanted my own business.,,Working,Job,Jr. Executive,Pharmaceutical,Private,1,Field Work,0,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Yes,,,,,,,,,,80-89,80-89,70-79,Disagree,Agree,Agree,Disagree,Disagree,8,5,8,7,6,"Fixing things;Making things work;Action-oriented activities;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information,Designing,"Working in groups;Supporting others;Listening to people;Coaching, training",Asserting ideas;Taking risks,"Keeping records;Making charts, graphs;Writing reports"
96,Below 23,Male,70-79,Computer Science,,No,2018,more than 3,Unmarried,,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,None,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,No,,Yes,,"YES, Because I choose it",Working,Job,Developer,IT,Private,1,Office Work,0,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Neutral,No,,,,,,,,,,80-89,80-89,80-89,Agree,Agree,Strongly Agree,Agree,Neutral,9,6,10,9,8,Producing tangible results;Fixing things;Making things work;Action-oriented activities;Solving problems,Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Developing knowledge;Designing systems,Playing instruments;Designing;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Competing;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating,Using computer software;Conducting analyses;Creating efficiency
97,23-25,Female,70-79,Bachelor in civil engineering,,AutoCAD,2018,more than 3,Unmarried,,Agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Neutral,Agree,Neutral,Disagree,Strongly disagree,Disagree,None,Practical Applications,No,No,No,Because no scope in it,,Non-Working,,,,,,,,,,,,,,,,,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,
98,23-25,Male,70-79,Mathematics,Mathematics,No,2018,3,Unmarried,,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Strongly disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,2,Technical/programming Skills,"Yes , programming language",No,Yes,,"Yes, because I want to become a Researcher in maths field",Non-Working,,,,,,,,,,,,,,,,,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,,,,,,,,,,,,,,,,,,,
99,26-28,Male,50-59,Science,Mathematics,B.Ed,2014,1,Unmarried,,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,2,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications;Public speaking,"Public speaking, speaking skill",,Yes,,I can't leave what I'm doing at present as I've to see for  my dependents. ,Working,Job,TGT Mathematics,Education,Private,4,Office Work,0,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,No,,,,,,,,,,60-69,70-79,70-79,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,8,5,9,9,10,"Fixing things;Making things work;Action-oriented activities;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Developing knowledge,"Decorating;Playing instruments;Writing poetry, stories;Reading;Being Emotional;Being expressive;Being brave and daring","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Asserting ideas;Taking risks","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations"
100,above 28,Male,80-89,Department of mathematics,mathematics,No,2014,more than 3,Unmarried,,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Disagree,3,Interactive Session,Yes,No,Yes,,I like it,Non-Working,,,,,,,,,,,,,,,,,Neutral,Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,
101,23-25,Male,60-69,Computer science,Computer science ,No,2014,2,Unmarried,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,2,Soft skills;Technical/programming Skills,Yes Udacity ,No,Yes,,I will be continuing to work and learn more in my field ,Working,Job,Researcher,IT,Government,1,Office Work,1,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,90-100,90-100,90-100,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,10,9,10,10,8,"Fixing things;Constructing, building;Making things work",Solving abstract problems;Conducting research;Detailed activities;Designing systems,Decorating;Playing instruments;Designing,Working in groups;Supporting others;Building relationships,"Speaking in public;Persuading, influential","Making charts, graphs;Using computer software"
102,Below 23,Male,80-89,Mechanical Engineering (Diploma),-,No,2017,more than 3,Unmarried,,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Agree,Agree,Disagree,None,Soft skills;Interactive Session,No,No,Yes,,"cause I really enjoy the work I get with good pay, but long term I have some future career options so if I get a chance to switch then I'll surely do it",Working,Job,Maintenance officer,Oil and Gas,Private,3,Field Work,0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,No,,,,,,,,,,80-89,80-89,80-89,Neutral,Neutral,Neutral,Neutral,Neutral,10,5,5,9,9,"Fixing things;Making things work;Working with my hands;Solving problems;Repairing, refinishing",Analyzing information;Conducting research;Learning new facts;Exploring theories;Detailed activities;Developing knowledge,Designing;Reading,Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating,Competing;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses"
103,23-25,Female,60-69,Geology,Geology,No,2018,1,Married,Service,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,None,Interactive Session,No,No,No,Number of jobs are less,,Non-Working,,,,,,,,,,,,,,,,,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Disagree,Neutral,,,,,,,,,,,,,,,,,,,
104,23-25,Female,60-69,Chemistry,Chemistry,No,2018,more than 3,Married,Project selse exicutive,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,None,Interactive Session;Practical Applications,More confidence,No,Yes,,I love what i am doing.,Working,self-employed,Teacher,Academic,Business,2,Office Work,0,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,No,,,,,,,,,,90-100,90-100,80-89,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,5,9,9,7,10,Producing tangible results;Fixing things;Making things work;Action-oriented activities;Solving problems,Conducting research;Learning new facts;Developing knowledge;Designing systems,Decorating;Playing instruments;Reading;Being Emotional;Being brave and daring,"Working in groups;Supporting others;Listening to people;Encouraging;Teaching, instructing;Coaching, training","Persuading, influential;Asserting ideas;Taking risks;Being an entrepreneur","Making charts, graphs;Attention to detail;Creating efficiency;Following the rules"
105,23-25,Male,60-69,Mathematics,Mathematics,No,2017,3,Unmarried,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,more than 3,Technical/programming Skills;Interactive Session,no,No,No,No,,Working,Job,Data specialist,IT,Private,2,Office Work,1,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Yes,,,,,,,,,,70-79,70-79,70-79,Agree,Neutral,Agree,Strongly Disagree,Neutral,2,1,4,4,3,"Producing tangible results;Fixing things;Constructing, building;Making things work;Working with my hands;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Learning new facts;Collecting data;Developing knowledge;Designing systems,Designing;Reading;Being expressive;Being brave and daring,"Working in groups;Building relationships;Communication;Collaborating;Encouraging;Coaching, training",Speaking in public;Chairing committees;Asserting ideas;Taking risks;Negotiating,Writing reports;Attention to detail;Creating efficiency;Performing calculations
106,23-25,Female,60-69,Chemistry,Organic chemistry,Aics training ,2018,more than 3,Unmarried,,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,more than 3,Technical/programming Skills;Interactive Session;Practical Applications,Sports,,No,Want to prepare for UPSC ,,Working,Job,Temporary assistant professor in MSU BARODA,Teaching,Government,1,Office Work,1,Neutral,Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,No,,,,,,,,,,60-69,60-69,60-69,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,1,3,3,1,3,Producing tangible results;Fixing things;Making things work;Action-oriented activities;Working with my hands;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Developing knowledge,"Decorating;Designing;Writing poetry, stories;Reading;Being Emotional;Being expressive;Being brave and daring","Supporting others;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Competing;Taking risks;Being an entrepreneur;Negotiating",Writing reports;Attention to detail;Following the rules
107,23-25,Male,60-69,Mathematics,Mathematics (honor),No,2017,2,Unmarried,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,more than 3,Technical/programming Skills;Practical Applications,"Yes, may another degree",,Yes,,Because I want to,Working,Job,Educator,Teaching,Private,3,Office Work,1,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Yes,,,,,,,,,,70-79,80-89,70-79,Agree,Neutral,Agree,Strongly Agree,Agree,6,10,10,10,9,Producing tangible results;Fixing things;Making things work;Working with my hands;Using equipment,Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Developing knowledge;Designing systems,Designing;Reading;Being Emotional,"Working in groups;Supporting others;Building relationships;Listening to people;Collaborating;Teaching, instructing;Coaching, training",Debating ideas;Asserting ideas;Taking risks;Negotiating,Keeping records;Writing reports;Attention to detail;Using computer software;Performing calculations;Following the rules
108,23-25,Female,60-69,Science ,Mathematics ,Bachelor in Education ,2018,more than 3,Unmarried,,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,3,Interactive Session;Practical Applications,No,No,Yes,,I m happy with my carrier. ,Working,Job,Teacher ,School ,Private,3,Field Work,more than 3,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Strongly Agree,No,,,,,,,,,,80-89,90-100,80-89,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,9,8,10,10,8,"Fixing things;Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Collecting data;Developing knowledge;Designing systems,"Composing music;Decorating;Designing;Writing poetry, stories;Being Emotional;Being expressive;Being brave and daring","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Encouraging;Teaching, instructing;Coaching, training",Taking risks;Negotiating,"Keeping records;Making charts, graphs;Using computer software;Conducting analyses;Performing calculations"
109,23-25,Male,70-79,Geology,Geology,No,2018,more than 3,Unmarried,,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,None,Technical/programming Skills;Interactive Session,"Machine Learning, Programming skills",,Yes,,"Good job profile and pay, satisfactory job experience",Working,Job,Geospatial Analyst,IT,Private,1,Office Work,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,No,,,,,,,,,,70-79,70-79,70-79,Agree,Agree,Agree,Neutral,Agree,8,6,8,9,9,"Fixing things;Making things work;Action-oriented activities;Solving problems;Repairing, refinishing",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,"Decorating;Designing;Writing poetry, stories;Reading","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Coaching, training",Speaking in public;Debating ideas;Competing;Asserting ideas;Taking risks,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
110,26-28,Female,70-79,Mathematics,Mathematics,No,2016,more than 3,Married,B.com,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,1,Technical/programming Skills;Interactive Session;Practical Applications,Yes... problem solving session for UGC,,No,I  want to go in civil services.,,Working,Job,JEE FACULTY,Education,Private,4,Field Work,0,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,No,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,8,10,9,9,"Fixing things;Constructing, building;Action-oriented activities;Working with my hands;Solving problems;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,"Composing music;Decorating;Playing instruments;Designing;Writing poetry, stories;Reading;Being Emotional;Being expressive;Being brave and daring","Building relationships;Communication;Listening to people;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Chairing committees;Competing;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
111,23-25,Female,50-59,Mathematics,Mathematics,No,2017,more than 3,Unmarried,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,None,Practical Applications,No,No,Yes,,I m happy and satisfied,Working,Job,Assistant professor of mathematics department,Teaching,Private,3,Field Work,0,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,No,,,,,,,,,,70-79,70-79,70-79,Agree,Agree,Agree,Neutral,Agree,8,7,8,8,7,Making things work;Action-oriented activities;Working with my hands;Solving problems,Analyzing information;Detailed activities;Developing knowledge,"Composing music;Decorating;Playing instruments;Writing poetry, stories;Reading;Being brave and daring","Working in groups;Supporting others;Listening to people;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Taking risks,"Making charts, graphs;Using computer software;Following the rules"
112,23-25,Male,70-79,Computer Science and Engineering,Information communication and Technology,Machine learning Specialization,2018,more than 3,Unmarried,,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,None,Soft skills;Interactive Session,Machine learning skills,,Yes,,Good Opportunity and I like my work that i do,Working,Job,java developer,IT,Private,1,Office Work,0,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,No,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,7,7,10,10,6,Fixing things;Making things work;Solving problems,Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Collecting data;Developing knowledge,Playing instruments;Being Emotional;Being brave and daring,"Working in groups;Supporting others;Teaching, instructing;Coaching, training",Taking risks;Being an entrepreneur,Using computer software
113,26-28,Male,70-79,Mathematics,Mathematics,B.Ed.,2018,3,Unmarried,,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,None,Soft skills,No,No,Yes,,I Loved it simply,Working,Job,Assistant Teacher,Teaching,Private,3,Office Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,No,,,,,,,,,,70-79,70-79,70-79,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,2,1,4,3,3,Making things work;Action-oriented activities;Solving problems,Solving abstract problems;Analyzing information;Collecting data;Developing knowledge,Composing music;Playing instruments;Reading;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Debating ideas;Chairing committees;Competing;Asserting ideas;Taking risks,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
114,23-25,Male,80-89,Mathematics,Mathematics,No,2017,more than 3,Unmarried,,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,more than 3,Technical/programming Skills;Interactive Session;Practical Applications,No,No,Yes,,I find myself best for it.,Non-Working,,,,,,,,,,,,,,,,,Neutral,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,
115,26-28,Male,50-59,"B.Sc. Mathematics(Gujarat Arts and Science College,Ellisbridge, Ahmedabad)","M.Sc Mathematics(Science Department, MSU Baroda)",NO,2017,2,Unmarried,,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,3,Soft skills;Practical Applications;Teaching ability,NO,No,Yes,,It was my decision to choose this interesting career. If I cant survive in my field then there is no hope to choose other career which I dont even like.,Working,Job,Lecturer,University,Private,1,Office Work,0,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly Agree,No,,,,,,,,,,90-100,80-89,70-79,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,8,10,10,9,Fixing things;Making things work;Action-oriented activities;Working with my hands;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Collecting data;Developing knowledge;Designing systems,Decorating;Playing instruments;Designing;Reading;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Persuading, influential;Asserting ideas;Taking risks;Being an entrepreneur","Keeping records;Making charts, graphs;Writing reports;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
116,26-28,Female,60-69,Chemistry ,,No,2014,1,Married,Electric engineering ,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,more than 3,Soft skills;Interactive Session,Basic knowledge ,,Yes,,Education ,Non-Working,,,,,,,,,,,,,,,,,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,,,,,,,,
117,26-28,Male,70-79,Chemistry ,Pure chemistry ,No,2014,2,Unmarried,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,Soft skills;Interactive Session;Practical Applications,None,,Yes,,I like chemistry ,Working,Job,QA analyst , Chemical ,Private,3,Office Work,1,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,70-79,60-69,70-79,Agree,Agree,Neutral,Agree,Agree,7,7,7,7,7,"Producing tangible results;Fixing things;Constructing, building;Action-oriented activities",Conducting research;Learning new facts;Collecting data,Reading,Building relationships;Communication;Listening to people,Taking risks,Attention to detail;Conducting analyses
118,23-25,Female,70-79,Maths,Maths ,No,2018,3,Unmarried,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,more than 3,Interactive Session,No,,Yes,,Yes,Working,Job,Assistant professor,Teaching,Private,2,Office Work,1,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Yes,,,,,,,,,,50-59,60-69,60-69,Disagree,Neutral,Disagree,Neutral,Neutral,3,2,3,3,3,Working with my hands;Solving problems,Conducting research;Exploring theories;Detailed activities,Designing;Reading;Being Emotional;Being expressive,Building relationships;Listening to people;Collaborating,"Debating ideas;Persuading, influential",Attention to detail;Conducting analyses;Performing calculations
119,23-25,Male,70-79,Chemistry ,,No,2015,3,Unmarried,,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,3,Practical Applications,Basics,,Yes,,Like work,Working,self-employed,Self employed ,Marketing ,Business,4,Office Work,1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Yes,,,,,,,,,,60-69,60-69,60-69,Agree,Neutral,Neutral,Agree,Neutral,3,4,4,4,3,Solving problems,Analyzing information;Learning new facts;Detailed activities,Being expressive,Listening to people,Being an entrepreneur,Attention to detail;Creating efficiency
120,26-28,Male,50-59,Statistics,Statistics,No,2017,2,Unmarried,,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,2,Interactive Session;Practical Applications,Need to acquire few courses of business management and accounting,,Yes,,Because I'm loving it. 😊😉,Working,self-employed,Founder & Managing partner,Market research and data analytics,Business,3,Office Work,0,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Agree,Strongly Disagree,No,,,,,,,,,,70-79,70-79,60-69,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,7,7,9,7,10,Action-oriented activities;Solving problems,Analyzing information;Conducting research;Learning new facts;Detailed activities;Developing knowledge;Designing systems,Reading;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Chairing committees;Competing;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
121,23-25,Female,60-69,Chemistry,Chemistry,No,2018,more than 3,Unmarried,,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,None,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,Yes,No,Yes,,Love my job,Working,Job,Executive,Pharmaceutical,Private,1,Office Work,1,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,No,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,2,9,2,2,8,Making things work;Working with my hands;Using equipment,Analyzing information;Conducting research;Exploring theories;Developing knowledge,Being expressive;Being brave and daring,Working in groups;Supporting others;Building relationships;Communication;Encouraging,Taking risks,Creating efficiency
